CueShowTime,ObjShowTime,ReactionTime,Eccentricity,VerticalEccentricity,StimType,Guess,Correct
1762207944859,1762207946325,1762207946903,-24,0,CanvasP,CanvasP,True
1762207947413,1762207948724,1762207949158,-8,0,CanvasB,CanvasB,True
1762207949670,1762207951192,1762207951748,0,0,CanvasP,CanvasP,True
1762207952257,1762207953636,1762207954214,0,0,CanvasE,CanvasE,True
1762207954725,1762207956181,1762207956780,-24,0,CanvasE,CanvasE,True
1762207957292,1762207958169,1762207958948,8,0,CanvasP,CanvasP,True
1762207959458,1762207960647,1762207961237,8,0,CanvasE,CanvasE,True
1762207961748,1762207963159,1762207963793,24,0,CanvasB,CanvasB,True
1762207964303,1762207965048,1762207965672,-16,0,CanvasE,CanvasE,True
1762207966181,1762207967124,1762207967726,16,0,CanvasB,CanvasB,True
1762207968237,1762207969716,1762207970270,-16,0,CanvasB,CanvasB,True
1762207970780,1762207971548,1762207972027,8,0,CanvasP,CanvasP,True
1762207972537,1762207973437,1762207974237,8,0,CanvasP,CanvasP,True
1762207974747,1762207976248,1762207976804,8,0,CanvasE,CanvasE,True
1762207977315,1762207978203,1762207978672,0,0,CanvasB,CanvasB,True
1762207979181,1762207979960,1762207980383,-8,0,CanvasP,CanvasP,True
1762207980892,1762207982048,1762207982548,-8,0,CanvasB,CanvasB,True
1762207983060,1762207984392,1762207985016,-8,0,CanvasP,CanvasP,True
1762207985525,1762207986493,1762207987260,-24,0,CanvasP,CanvasP,True
1762207987771,1762207989446,1762207990103,16,0,CanvasB,CanvasB,True
1762207990614,1762207991559,1762207992415,-8,0,CanvasB,CanvasB,True
1762207992926,1762207993971,1762207994517,24,0,CanvasB,CanvasB,True
1762207995026,1762207996492,1762207997139,-8,0,CanvasP,CanvasP,True
1762207997648,1762207998627,1762207999182,0,0,CanvasB,CanvasB,True
1762207999693,1762208000560,1762208001061,16,0,CanvasB,CanvasB,True
1762208001571,1762208002895,1762208003459,-8,0,CanvasP,CanvasP,True
1762208003971,1762208005115,1762208006017,-16,0,CanvasE,CanvasE,True
1762208006526,1762208007316,1762208007794,0,0,CanvasB,CanvasB,True
1762208008303,1762208009516,1762208010116,-16,0,CanvasP,CanvasP,True
1762208010627,1762208012094,1762208012675,-24,0,CanvasP,CanvasP,True
1762208013182,1762208014241,1762208014960,-16,0,CanvasP,CanvasP,True
1762208015472,1762208017128,1762208017661,0,0,CanvasE,CanvasE,True
1762208018171,1762208019650,1762208020207,16,0,CanvasE,CanvasE,True
1762208020715,1762208022129,1762208022751,0,0,CanvasP,CanvasP,True
1762208023261,1762208024861,1762208025373,0,0,CanvasP,CanvasE,False
1762208025883,1762208026617,1762208027695,8,0,CanvasP,CanvasP,True
1762208028206,1762208029360,1762208029851,8,0,CanvasB,CanvasB,True
1762208030360,1762208031461,1762208032041,16,0,CanvasB,CanvasB,True
1762208032550,1762208033806,1762208034406,24,0,CanvasB,CanvasB,True
1762208034917,1762208036561,1762208037106,8,0,CanvasE,CanvasE,True
1762208037619,1762208039195,1762208039874,16,0,CanvasP,CanvasP,True
1762208040383,1762208041572,1762208042096,8,0,CanvasB,CanvasB,True
1762208042605,1762208043429,1762208043973,-16,0,CanvasB,CanvasB,True
1762208044483,1762208046173,1762208046806,8,0,CanvasP,CanvasP,True
1762208047317,1762208048696,1762208049307,24,0,CanvasP,CanvasP,True
1762208049818,1762208050762,1762208051307,-24,0,CanvasP,CanvasP,True
1762208051818,1762208053318,1762208053897,-8,0,CanvasB,CanvasB,True
1762208054409,1762208055396,1762208056009,-24,0,CanvasE,CanvasP,False
1762208056517,1762208057708,1762208058297,0,0,CanvasE,CanvasE,True
1762208058807,1762208059696,1762208060097,-8,0,CanvasE,CanvasE,True
1762208060606,1762208062151,1762208062651,24,0,CanvasE,CanvasE,True
1762208063162,1762208064396,1762208065164,16,0,CanvasB,CanvasB,True
1762208065675,1762208067162,1762208067707,0,0,CanvasE,CanvasE,True
1762208068218,1762208069680,1762208070176,24,0,CanvasE,CanvasE,True
1762208070684,1762208071533,1762208072149,-24,0,CanvasP,CanvasP,True
1762208072664,1762208073707,1762208074586,8,0,CanvasP,CanvasP,True
1762208075097,1762208076775,1762208077419,-8,0,CanvasB,CanvasB,True
1762208077928,1762208079475,1762208080318,-24,0,CanvasE,CanvasE,True
1762208080829,1762208082107,1762208083342,-16,0,CanvasP,CanvasP,True
1762208083853,1762208085485,1762208085976,0,0,CanvasB,CanvasB,True
