CaptureTimeUnixMs;CalcXEccDeg;CalcYEccDeg;Valid;GazeForwardX;GazeForwardY;GazeForwardZ;StimulusId
1764709992301;2.9561;-0.5367;VALID;0.051568;-0.009355;0.998626;still-images-phyiscs180
1764709992306;3.9304;-0.4601;VALID;0.068542;-0.008012;0.997616;still-images-phyiscs180
1764709992311;3.8764;-0.5679;VALID;0.067601;-0.009889;0.997663;still-images-phyiscs180
1764709992316;4.3493;-0.6665;VALID;0.075832;-0.011600;0.997053;still-images-phyiscs180
1764709992321;4.6767;-0.5045;VALID;0.081531;-0.008776;0.996632;still-images-phyiscs180
1764709992326;4.8909;-0.6445;VALID;0.085253;-0.011208;0.996296;still-images-phyiscs180
1764709992331;6.0779;-0.1833;VALID;0.105880;-0.003180;0.994374;still-images-phyiscs180
1764709992336;6.0828;-0.1649;VALID;0.105965;-0.002862;0.994366;still-images-phyiscs180
1764709992341;6.1654;-0.0999;VALID;0.107398;-0.001733;0.994215;still-images-phyiscs180
1764709992346;6.1897;-0.0961;VALID;0.107821;-0.001668;0.994169;still-images-phyiscs180
1764709992351;6.1937;-0.1437;VALID;0.107890;-0.002493;0.994160;still-images-phyiscs180
1764709992356;6.1865;-0.1556;VALID;0.107764;-0.002700;0.994173;still-images-phyiscs180
1764709992361;6.1915;-0.1302;VALID;0.107851;-0.002260;0.994165;still-images-phyiscs180
1764709992366;6.2359;-0.1459;VALID;0.108622;-0.002531;0.994080;still-images-phyiscs180
1764709992371;6.2001;-0.2021;VALID;0.108000;-0.003506;0.994145;still-images-phyiscs180
1764709992376;6.1998;-0.2209;VALID;0.107995;-0.003832;0.994144;still-images-phyiscs180
1764709992381;6.2314;-0.2730;VALID;0.108543;-0.004736;0.994080;still-images-phyiscs180
1764709992386;6.2551;-0.2526;VALID;0.108955;-0.004382;0.994037;still-images-phyiscs180
1764709992391;6.2508;-0.2252;VALID;0.108880;-0.003907;0.994047;still-images-phyiscs180
1764709992396;6.1965;-0.2415;VALID;0.107938;-0.004191;0.994149;still-images-phyiscs180
1764709992401;6.1960;-0.2394;VALID;0.107928;-0.004154;0.994150;still-images-phyiscs180
