CaptureTimeUnixMs;CalcXEccDeg;CalcYEccDeg;Valid;GazeForwardX;GazeForwardY;GazeForwardZ;StimulusId
1764710298835;13.4372;0.4175;VALID;0.232374;0.007087;0.972601;still-images-phyiscs180
1764710298840;13.4428;0.3895;VALID;0.232469;0.006612;0.972581;still-images-phyiscs180
1764710298845;13.4385;0.3880;VALID;0.232396;0.006586;0.972599;still-images-phyiscs180
1764710298850;13.2872;0.4410;VALID;0.229825;0.007491;0.973203;still-images-phyiscs180
1764710298855;13.4062;0.2655;VALID;0.231850;0.004507;0.972741;still-images-phyiscs180
1764710298860;12.5481;0.3898;VALID;0.217254;0.006641;0.976093;still-images-phyiscs180
1764710298865;10.1013;0.3462;VALID;0.175386;0.005948;0.984482;still-images-phyiscs180
1764710298870;7.3509;-0.4828;VALID;0.127941;-0.008358;0.991747;still-images-phyiscs180
1764710298875;5.2397;-1.1781;VALID;0.091304;-0.020475;0.995613;still-images-phyiscs180
1764710298880;3.3258;-1.8883;VALID;0.057981;-0.032895;0.997776;still-images-phyiscs180
1764710298885;1.5361;-2.3508;VALID;0.026785;-0.041003;0.998800;still-images-phyiscs180
1764710298890;1.4749;-1.8232;VALID;0.025725;-0.031805;0.999163;still-images-phyiscs180
1764710298895;1.8757;-1.7706;VALID;0.032716;-0.030881;0.998988;still-images-phyiscs180
1764710298900;1.6349;-2.0434;VALID;0.028513;-0.035642;0.998958;still-images-phyiscs180
1764710298905;1.5635;-2.0937;VALID;0.027267;-0.036520;0.998961;still-images-phyiscs180
1764710298910;1.4858;-2.1410;VALID;0.025911;-0.037346;0.998967;still-images-phyiscs180
1764710298915;1.7078;-2.0823;VALID;0.029783;-0.036318;0.998896;still-images-phyiscs180
1764710298920;1.5496;-1.9397;VALID;0.027027;-0.033835;0.999062;still-images-phyiscs180
1764710298925;1.5480;-1.9937;VALID;0.026998;-0.034778;0.999030;still-images-phyiscs180
1764710298930;1.6964;-1.9900;VALID;0.029585;-0.034710;0.998959;still-images-phyiscs180
1764710298935;2.0614;-1.8371;VALID;0.035951;-0.032036;0.998840;still-images-phyiscs180
1764710298940;1.4557;-2.2460;VALID;0.025385;-0.039177;0.998910;still-images-phyiscs180
1764710298945;1.4171;-2.2734;VALID;0.024711;-0.039656;0.998908;still-images-phyiscs180
1764710298950;1.7120;-2.1766;VALID;0.029855;-0.037962;0.998833;still-images-phyiscs180
1764710298955;1.3847;-2.1107;VALID;0.024149;-0.036820;0.999030;still-images-phyiscs180
1764710298960;1.4816;-2.1494;VALID;0.025837;-0.037493;0.998963;still-images-phyiscs180
1764710298965;1.3294;-2.3109;VALID;0.023182;-0.040311;0.998918;still-images-phyiscs180
1764710298970;1.6984;-2.1027;VALID;0.029619;-0.036675;0.998888;still-images-phyiscs180
1764710298975;1.6854;-2.0580;VALID;0.029393;-0.035896;0.998923;still-images-phyiscs180
1764710298980;1.5764;-2.0278;VALID;0.027493;-0.035370;0.998996;still-images-phyiscs180
1764710298985;1.2875;-1.8678;VALID;0.022457;-0.032585;0.999217;still-images-phyiscs180
1764710298990;1.4023;-1.8824;VALID;0.024458;-0.032838;0.999161;still-images-phyiscs180
1764710298995;1.3172;-1.8129;VALID;0.022976;-0.031627;0.999236;still-images-phyiscs180
1764710299000;1.2978;-1.8565;VALID;0.022638;-0.032389;0.999219;still-images-phyiscs180
1764710299005;1.4824;-1.6662;VALID;0.025859;-0.029068;0.999243;still-images-phyiscs180
1764710299010;1.4712;-1.6479;VALID;0.025664;-0.028748;0.999257;still-images-phyiscs180
1764710299015;1.5222;-1.7068;VALID;0.026553;-0.029775;0.999204;still-images-phyiscs180
1764710299020;1.4689;-1.7035;VALID;0.025624;-0.029718;0.999230;still-images-phyiscs180
1764710299025;1.3425;-1.7036;VALID;0.023418;-0.029720;0.999284;still-images-phyiscs180
1764710299030;1.8118;-1.7951;VALID;0.031601;-0.031309;0.999010;still-images-phyiscs180
1764710299035;1.6330;-1.7725;VALID;0.028484;-0.030919;0.999116;still-images-phyiscs180
1764710299040;1.6468;-1.8040;VALID;0.028724;-0.031467;0.999092;still-images-phyiscs180
1764710299045;1.6316;-1.7879;VALID;0.028459;-0.031187;0.999108;still-images-phyiscs180
1764710299050;1.8282;-1.8781;VALID;0.031886;-0.032757;0.998955;still-images-phyiscs180
1764710299055;1.6461;-1.8020;VALID;0.028712;-0.031432;0.999093;still-images-phyiscs180
1764710299060;1.6546;-1.8100;VALID;0.028860;-0.031572;0.999085;still-images-phyiscs180
1764710299065;1.9691;-1.7666;VALID;0.034344;-0.030809;0.998935;still-images-phyiscs180
1764710299070;1.9720;-1.7704;VALID;0.034395;-0.030877;0.998931;still-images-phyiscs180
1764710299075;1.9796;-1.7779;VALID;0.034527;-0.031007;0.998923;still-images-phyiscs180
1764710299080;1.6406;-1.7903;VALID;0.028616;-0.031229;0.999103;still-images-phyiscs180
1764710299085;1.5078;-1.7999;VALID;0.026300;-0.031399;0.999161;still-images-phyiscs180
1764710299090;4.0049;-1.2737;VALID;0.069824;-0.022174;0.997313;still-images-phyiscs180
1764710299095;5.7285;-0.3340;VALID;0.099814;-0.005800;0.994989;still-images-phyiscs180
1764710299100;7.5026;0.1323;VALID;0.130571;0.002289;0.991436;still-images-phyiscs180
1764710299105;8.7806;0.5940;VALID;0.152644;0.010246;0.988228;still-images-phyiscs180
1764710299110;9.5480;0.9767;VALID;0.165850;0.016809;0.986008;still-images-phyiscs180
1764710299115;9.9036;0.9675;VALID;0.171967;0.016634;0.984962;still-images-phyiscs180
1764710299120;9.6143;0.7598;VALID;0.167000;0.013074;0.985870;still-images-phyiscs180
1764710299125;9.5527;1.0291;VALID;0.165928;0.017711;0.985979;still-images-phyiscs180
1764710299130;10.0587;1.1328;VALID;0.174624;0.019465;0.984443;still-images-phyiscs180
1764710299135;9.9619;1.1149;VALID;0.172962;0.019165;0.984742;still-images-phyiscs180
1764710299140;10.2278;1.0748;VALID;0.177531;0.018459;0.983942;still-images-phyiscs180
1764710299145;10.1874;1.0968;VALID;0.176838;0.018840;0.984060;still-images-phyiscs180
1764710299150;10.1184;1.0747;VALID;0.175653;0.018465;0.984279;still-images-phyiscs180
