CaptureTimeUnixMs;CalcXEccDeg;CalcYEccDeg;Valid;GazeForwardX;GazeForwardY;GazeForwardZ;StimulusId
1764710564828;-0.6098;-1.3301;VALID;-0.010640;-0.023212;0.999674;still-images-phyiscs180
1764710564833;-0.5200;-1.3306;VALID;-0.009074;-0.023221;0.999689;still-images-phyiscs180
1764710564838;-0.4576;-1.3505;VALID;-0.007984;-0.023568;0.999690;still-images-phyiscs180
1764710564843;-0.4361;-1.3369;VALID;-0.007609;-0.023330;0.999699;still-images-phyiscs180
1764710564848;-0.4547;-1.3171;VALID;-0.007935;-0.022986;0.999704;still-images-phyiscs180
1764710564853;-0.4768;-1.3113;VALID;-0.008320;-0.022884;0.999704;still-images-phyiscs180
1764710564858;-0.4873;-1.3105;VALID;-0.008503;-0.022869;0.999702;still-images-phyiscs180
1764710564863;-0.4951;-1.3107;VALID;-0.008638;-0.022872;0.999701;still-images-phyiscs180
1764710564868;-0.5161;-1.2970;VALID;-0.009005;-0.022635;0.999703;still-images-phyiscs180
1764710564873;-0.5267;-1.3007;VALID;-0.009190;-0.022698;0.999700;still-images-phyiscs180
1764710564878;-0.5303;-1.3044;VALID;-0.009252;-0.022764;0.999698;still-images-phyiscs180
1764710564883;-0.5400;-1.3029;VALID;-0.009423;-0.022736;0.999697;still-images-phyiscs180
1764710564888;-0.5540;-1.2987;VALID;-0.009667;-0.022663;0.999696;still-images-phyiscs180
1764710564893;-0.5535;-1.3122;VALID;-0.009657;-0.022899;0.999691;still-images-phyiscs180
1764710564898;-0.5727;-1.3137;VALID;-0.009993;-0.022925;0.999687;still-images-phyiscs180
1764710564903;-0.5839;-1.3033;VALID;-0.010188;-0.022745;0.999689;still-images-phyiscs180
1764710564908;-0.5993;-1.3105;VALID;-0.010456;-0.022869;0.999684;still-images-phyiscs180
1764710564913;-0.6010;-1.3101;VALID;-0.010486;-0.022862;0.999684;still-images-phyiscs180
1764710564918;-0.6078;-1.2972;VALID;-0.010605;-0.022638;0.999688;still-images-phyiscs180
1764710564923;-0.6217;-1.3013;VALID;-0.010848;-0.022708;0.999683;still-images-phyiscs180
1764710564928;-0.6273;-1.3109;VALID;-0.010946;-0.022876;0.999678;still-images-phyiscs180
1764710564933;-0.6240;-1.3057;VALID;-0.010889;-0.022785;0.999681;still-images-phyiscs180
1764710564938;-0.6306;-1.3026;VALID;-0.011003;-0.022732;0.999681;still-images-phyiscs180
1764710564943;-0.6330;-1.2861;VALID;-0.011046;-0.022443;0.999687;still-images-phyiscs180
1764710564948;-0.6460;-1.2806;VALID;-0.011272;-0.022347;0.999687;still-images-phyiscs180
1764710564953;-0.6433;-1.2668;VALID;-0.011225;-0.022107;0.999693;still-images-phyiscs180
1764710564958;-0.6538;-1.2672;VALID;-0.011408;-0.022113;0.999690;still-images-phyiscs180
1764710564963;-0.6491;-1.2816;VALID;-0.011326;-0.022364;0.999686;still-images-phyiscs180
1764710564968;-0.6473;-1.2856;VALID;-0.011294;-0.022434;0.999685;still-images-phyiscs180
1764710564973;-0.6520;-1.2688;VALID;-0.011377;-0.022142;0.999690;still-images-phyiscs180
1764710564978;-0.6842;-1.1950;VALID;-0.011938;-0.020854;0.999711;still-images-phyiscs180
1764710564983;-0.7050;-1.1809;VALID;-0.012301;-0.020608;0.999712;still-images-phyiscs180
1764710564988;-0.7049;-1.1884;VALID;-0.012301;-0.020738;0.999709;still-images-phyiscs180
1764710564993;-0.7118;-1.1852;VALID;-0.012421;-0.020683;0.999709;still-images-phyiscs180
1764710564998;-0.7231;-1.1975;VALID;-0.012617;-0.020897;0.999702;still-images-phyiscs180
1764710565003;-0.7309;-1.2059;VALID;-0.012754;-0.021043;0.999697;still-images-phyiscs180
1764710565008;-0.7270;-1.2209;VALID;-0.012685;-0.021306;0.999693;still-images-phyiscs180
1764710565013;-0.7301;-1.2255;VALID;-0.012739;-0.021385;0.999690;still-images-phyiscs180
