CaptureTimeUnixMs;CalcXEccDeg;CalcYEccDeg;Valid;GazeForwardX;GazeForwardY;GazeForwardZ;StimulusId
1764710948007;-5.9606;2.2544;VALID;-0.103765;0.039124;0.993832;still-images-phyiscs180
1764710948012;-5.9785;2.1898;VALID;-0.104081;0.038002;0.993843;still-images-phyiscs180
1764710948017;-5.9791;2.1369;VALID;-0.104094;0.037084;0.993876;still-images-phyiscs180
1764710948022;-5.9918;2.1299;VALID;-0.104315;0.036963;0.993857;still-images-phyiscs180
1764710948027;-5.9980;2.1389;VALID;-0.104421;0.037119;0.993840;still-images-phyiscs180
1764710948032;-6.0192;2.0662;VALID;-0.104794;0.035856;0.993847;still-images-phyiscs180
1764710948037;-6.0148;2.0086;VALID;-0.104722;0.034857;0.993891;still-images-phyiscs180
1764710948042;-6.0062;2.0266;VALID;-0.104571;0.035169;0.993895;still-images-phyiscs180
1764710948047;-6.0165;2.0413;VALID;-0.104749;0.035424;0.993868;still-images-phyiscs180
1764710948052;-5.8582;1.5185;VALID;-0.102031;0.026362;0.994432;still-images-phyiscs180
1764710948057;-5.5192;1.0379;VALID;-0.096164;0.018031;0.995202;still-images-phyiscs180
1764710948062;-5.1023;0.7449;VALID;-0.088927;0.012948;0.995954;still-images-phyiscs180
1764710948067;-4.8332;0.5720;VALID;-0.084251;0.009948;0.996395;still-images-phyiscs180
1764710948072;-4.5476;0.4198;VALID;-0.079285;0.007304;0.996825;still-images-phyiscs180
1764710948077;-4.3444;0.3817;VALID;-0.075749;0.006643;0.997105;still-images-phyiscs180
1764710948082;-4.2294;0.6092;VALID;-0.073747;0.010603;0.997221;still-images-phyiscs180
1764710948087;-4.1444;0.7108;VALID;-0.072266;0.012372;0.997309;still-images-phyiscs180
1764710948092;-4.0950;0.6888;VALID;-0.071405;0.011990;0.997375;still-images-phyiscs180
1764710948097;-4.0653;0.6572;VALID;-0.070889;0.011441;0.997419;still-images-phyiscs180
1764710948102;-4.0451;0.6553;VALID;-0.070537;0.011409;0.997444;still-images-phyiscs180
1764710948107;-3.9971;0.6915;VALID;-0.069702;0.012040;0.997495;still-images-phyiscs180
1764710948112;-3.9434;0.7904;VALID;-0.068765;0.013762;0.997538;still-images-phyiscs180
1764710948117;-3.8753;0.7893;VALID;-0.067580;0.013744;0.997619;still-images-phyiscs180
1764710948122;-3.8457;0.8977;VALID;-0.067062;0.015633;0.997626;still-images-phyiscs180
1764710948127;-3.8061;0.8966;VALID;-0.066372;0.015614;0.997673;still-images-phyiscs180
1764710948132;-3.7882;0.8861;VALID;-0.066061;0.015431;0.997696;still-images-phyiscs180
1764710948137;-3.7886;0.8733;VALID;-0.066068;0.015207;0.997699;still-images-phyiscs180
1764710948142;-3.7701;0.7850;VALID;-0.065747;0.013671;0.997743;still-images-phyiscs180
1764710948147;-3.7180;0.6834;VALID;-0.064841;0.011902;0.997825;still-images-phyiscs180
1764710948152;-3.7479;0.6791;VALID;-0.065361;0.011827;0.997792;still-images-phyiscs180
1764710948157;-3.7351;0.6610;VALID;-0.065140;0.011511;0.997810;still-images-phyiscs180
1764710948162;-3.6985;0.6666;VALID;-0.064501;0.011610;0.997850;still-images-phyiscs180
1764710948167;-3.6920;0.6862;VALID;-0.064388;0.011951;0.997853;still-images-phyiscs180
1764710948172;-3.6642;0.6971;VALID;-0.063904;0.012142;0.997882;still-images-phyiscs180
1764710948177;-3.6512;0.7052;VALID;-0.063678;0.012283;0.997895;still-images-phyiscs180
1764710948182;-3.6357;0.7231;VALID;-0.063407;0.012594;0.997908;still-images-phyiscs180
1764710948187;-3.5984;0.7219;VALID;-0.062758;0.012575;0.997950;still-images-phyiscs180
1764710948192;-3.5931;0.7046;VALID;-0.062665;0.012273;0.997959;still-images-phyiscs180
1764710948197;-3.5901;0.6921;VALID;-0.062613;0.012056;0.997965;still-images-phyiscs180
1764710948202;-3.5806;0.6780;VALID;-0.062449;0.011811;0.997978;still-images-phyiscs180
1764710948207;-3.5799;0.6907;VALID;-0.062436;0.012032;0.997977;still-images-phyiscs180
1764710948212;-3.5637;0.6894;VALID;-0.062153;0.012008;0.997994;still-images-phyiscs180
1764710948217;-3.5712;0.6745;VALID;-0.062285;0.011748;0.997989;still-images-phyiscs180
1764710948222;-3.6896;0.6735;VALID;-0.064347;0.011730;0.997859;still-images-phyiscs180
1764710948227;-3.3925;0.7483;VALID;-0.059170;0.013036;0.998163;still-images-phyiscs180
1764710948232;-1.5688;0.8360;VALID;-0.027375;0.014586;0.999519;still-images-phyiscs180
1764710948237;-0.5053;0.6655;VALID;-0.008818;0.011615;0.999894;still-images-phyiscs180
1764710948242;0.8951;0.7617;VALID;0.015621;0.013292;0.999790;still-images-phyiscs180
1764710948247;0.8568;1.1913;VALID;0.014951;0.020788;0.999672;still-images-phyiscs180
1764710948252;1.0850;1.4920;VALID;0.018929;0.026033;0.999482;still-images-phyiscs180
