EpochMs,Time_s,SampleIndex,PackNum,Marker,O1_V,O2_V,T3_V,T4_V
1764710871686,0.000000,0,0,0,0.4,0.4,0.4,0.4
1764710871690,0.004000,1,0,0,0.4,0.4,0.4,0.4
1764710871694,0.008000,2,1,0,0.4,0.4,0.4,0.4
1764710871698,0.012000,3,1,0,0.4,0.4,0.4,0.4
1764710871702,0.016000,4,2,0,0.4,0.4,0.4,0.4
1764710871706,0.020000,5,2,0,0.4,0.4,0.4,0.4
1764710871710,0.024000,6,3,0,0.4,0.4,0.4,0.4
1764710871714,0.028000,7,3,0,0.4,0.4,0.4,0.4
1764710871718,0.032000,8,4,0,0.4,0.4,0.4,0.4
1764710871722,0.036000,9,4,0,0.4,0.4,0.4,0.4
1764710871726,0.040000,10,5,0,0.4,0.4,0.4,0.4
1764710871730,0.044000,11,5,0,0.4,0.4,0.4,0.4
1764710871734,0.048000,12,6,0,0.4,0.4,0.4,0.4
1764710871738,0.052000,13,6,0,0.4,0.4,0.4,0.4
1764710871742,0.056000,14,7,0,0.4,0.4,0.4,0.4
1764710871746,0.060000,15,7,0,0.4,0.4,0.4,0.4
1764710871750,0.064000,16,8,0,0.4,0.4,0.4,0.4
1764710871754,0.068000,17,8,0,0.4,0.4,0.4,0.4
1764710871758,0.072000,18,9,0,0.4,0.4,0.4,0.4
1764710871762,0.076000,19,9,0,0.4,0.4,0.4,0.4
1764710871766,0.080000,20,10,0,0.4,0.4,0.4,0.4
1764710871770,0.084000,21,10,0,0.4,0.3906478792647164,0.4,0.4
1764710871774,0.088000,22,11,0,0.4,0.1307462031805069,0.4,0.4
1764710871778,0.092000,23,11,0,0.4,0.11824619125956656,0.4,0.4
1764710871782,0.096000,24,12,0,0.4,-0.3207068640774384,0.4,0.4
1764710871786,0.100000,25,12,0,0.4,-0.3332068759983788,0.4,0.4
1764710871790,0.104000,26,13,0,0.4,-0.40000038147009037,0.4,0.4
1764710871794,0.108000,27,13,0,0.4,-0.40000038147009037,0.3911884223827576,0.4
1764710871798,0.112000,28,14,0,0.4,-0.40000038147009037,0.3780895024199509,0.4
1764710871802,0.116000,29,14,0,0.4,-0.40000038147009037,0.36698567102973084,0.4
1764710871806,0.120000,30,15,0,0.4,-0.40000038147009037,0.3589423741744749,0.4
1764710871810,0.124000,31,15,0,0.4,-0.40000038147009037,0.3475963092768758,0.4
1764710871814,0.128000,32,16,0,0.4,-0.40000038147009037,0.3375106215578285,0.4
1764710871818,0.132000,33,16,0,0.4,-0.40000038147009037,0.34187692821209736,0.4
1764710871822,0.136000,34,17,0,0.4,-0.40000038147009037,0.3545478387335193,0.4
1764710871826,0.140000,35,17,0,0.4,-0.40000038147009037,0.36682888682259257,0.4
1764710871830,0.144000,36,18,0,0.4,-0.40000038147009037,0.380402355577808,0.4
1764710871834,0.148000,37,18,0,0.4,-0.40000038147009037,0.3885246167417686,0.4
1764710871838,0.152000,38,19,0,0.4,-0.40000038147009037,0.3940242710344992,0.4
1764710871842,0.156000,39,19,0,0.4,-0.40000038147009037,0.3975948310802756,0.4
1764710871846,0.160000,40,20,0,0.4,-0.40000038147009037,0.39712142669813794,0.4
1764710871850,0.164000,41,20,0,0.4,-0.40000038147009037,0.3909198674391436,0.4
1764710871854,0.168000,42,21,0,0.4,-0.40000038147009037,0.3845126958014448,0.4
1764710871858,0.172000,43,21,0,0.4,-0.40000038147009037,0.38297994897837545,0.4
1764710871862,0.176000,44,22,0,0.4,-0.40000038147009037,0.38101347066256586,0.4
1764710871866,0.180000,45,22,0,0.4,-0.40000038147009037,0.3790401258851298,0.4
1764710871870,0.184000,46,23,0,0.4,-0.40000038147009037,0.37670056982094746,0.4
1764710871874,0.188000,47,23,0,0.4,-0.40000038147009037,0.37135274062418044,0.4
1764710871878,0.192000,48,24,0,0.4,-0.40000038147009037,0.3667579333857855,0.4
1764710871882,0.196000,49,24,0,0.4,-0.40000038147009037,0.364672054931693,0.4
1764710871886,0.200000,50,25,0,0.4,-0.40000038147009037,0.3640117302052786,0.4
1764710871890,0.204000,51,25,0,0.4,-0.40000038147009037,0.3640361442910617,0.4
1764710871894,0.208000,52,26,0,0.4,-0.40000038147009037,0.36613537419831677,0.4
1764710871898,0.212000,53,26,0,0.4,-0.40000038147009037,0.3711269103306869,0.4
1764710871902,0.216000,54,27,0,0.4,-0.40000038147009037,0.3840068664616265,0.4
1764710871906,0.220000,55,27,0,0.4,-0.3875007510192404,0.39650649691247647,0.4
1764710871910,0.224000,56,28,0,0.4,-0.3506106859309062,0.4,0.4
1764710871914,0.228000,57,28,0,0.4,-0.33811105548005627,0.4,0.4
1764710871918,0.232000,58,29,0,0.4,-0.26069398946188876,0.4,0.4
1764710871922,0.236000,59,29,0,0.4,-0.24819435901103878,0.4,0.4
1764710871926,0.240000,60,30,0,0.4,-0.1274338983859047,0.4,0.4
1764710871930,0.244000,61,30,0,0.38749998807905967,-0.11493426793505472,0.4,0.38749998807905967
1764710871934,0.248000,62,31,0,0.3171710178098848,-0.06740233173592733,0.4,0.27424037384068856
1764710871938,0.252000,63,31,0,0.3046710058889445,-0.06787916934887823,0.4,0.26174036191974825
1764710871942,0.256000,64,32,0,0.2583513816369835,-0.07631652480747682,0.4,0.19839801635553012
1764710871946,0.260000,65,32,0,0.2458513697160432,-0.08881653672841713,0.4,0.2108976468063801
1764710871950,0.264000,66,33,0,0.21405202298357295,-0.09843110888586892,0.4,0.22899420642300267
