CaptureTimeUnixMs;CalcXEccDeg;CalcYEccDeg;Valid;GazeForwardX;GazeForwardY;GazeForwardZ;StimulusId
1764711741123;-4.1457;0.9470;VALID;-0.072284;0.016483;0.997248;still-images-phyiscs180-2
1764711741128;-4.1563;0.9398;VALID;-0.072468;0.016360;0.997237;still-images-phyiscs180-2
1764711741133;-4.1457;0.9455;VALID;-0.072283;0.016458;0.997248;still-images-phyiscs180-2
1764711741138;-4.1596;0.9551;VALID;-0.072525;0.016626;0.997228;still-images-phyiscs180-2
1764711741143;-4.1633;0.9222;VALID;-0.072590;0.016052;0.997233;still-images-phyiscs180-2
1764711741148;-4.1614;0.9194;VALID;-0.072557;0.016004;0.997236;still-images-phyiscs180-2
1764711741153;-4.1626;0.8778;VALID;-0.072579;0.015279;0.997246;still-images-phyiscs180-2
1764711741158;-4.1548;0.8896;VALID;-0.072443;0.015486;0.997252;still-images-phyiscs180-2
1764711741163;-4.1571;0.8794;VALID;-0.072483;0.015308;0.997252;still-images-phyiscs180-2
1764711741168;-4.2025;0.9189;VALID;-0.073272;0.015995;0.997184;still-images-phyiscs180-2
1764711741173;-4.1999;0.9125;VALID;-0.073227;0.015883;0.997189;still-images-phyiscs180-2
1764711741178;-4.2170;0.9257;VALID;-0.073524;0.016113;0.997163;still-images-phyiscs180-2
1764711741183;-4.2195;0.9441;VALID;-0.073568;0.016432;0.997155;still-images-phyiscs180-2
1764711741188;-4.2254;0.9584;VALID;-0.073669;0.016681;0.997143;still-images-phyiscs180-2
1764711741193;-4.2480;0.9268;VALID;-0.074064;0.016130;0.997123;still-images-phyiscs180-2
1764711741198;-4.2395;0.9299;VALID;-0.073915;0.016185;0.997133;still-images-phyiscs180-2
1764711741203;-4.1765;0.9725;VALID;-0.072819;0.016927;0.997202;still-images-phyiscs180-2
1764711741208;-4.2152;0.9413;VALID;-0.073493;0.016383;0.997161;still-images-phyiscs180-2
1764711741213;-4.2467;0.9037;VALID;-0.074041;0.015728;0.997131;still-images-phyiscs180-2
1764711741218;-4.2538;0.8980;VALID;-0.074165;0.015628;0.997124;still-images-phyiscs180-2
1764711741223;-4.2617;0.8822;VALID;-0.074304;0.015355;0.997117;still-images-phyiscs180-2
1764711741228;-4.2625;0.8929;VALID;-0.074317;0.015541;0.997114;still-images-phyiscs180-2
1764711741233;-4.2666;0.8990;VALID;-0.074389;0.015646;0.997107;still-images-phyiscs180-2
1764711741238;-4.2657;0.8952;VALID;-0.074373;0.015581;0.997109;still-images-phyiscs180-2
1764711741243;-4.2634;0.8733;VALID;-0.074333;0.015200;0.997118;still-images-phyiscs180-2
1764711741248;-4.2587;0.8745;VALID;-0.074250;0.015220;0.997124;still-images-phyiscs180-2
1764711741253;-4.2429;0.8814;VALID;-0.073975;0.015341;0.997142;still-images-phyiscs180-2
1764711741258;-4.2735;1.0143;VALID;-0.074506;0.017653;0.997064;still-images-phyiscs180-2
1764711741263;-4.2675;0.9343;VALID;-0.074403;0.016260;0.997096;still-images-phyiscs180-2
1764711741268;-4.2698;0.9204;VALID;-0.074444;0.016019;0.997097;still-images-phyiscs180-2
1764711741273;-4.2653;0.8942;VALID;-0.074366;0.015562;0.997110;still-images-phyiscs180-2
1764711741278;-4.2301;0.8921;VALID;-0.073753;0.015527;0.997156;still-images-phyiscs180-2
1764711741283;-4.2233;0.8986;VALID;-0.073636;0.015639;0.997163;still-images-phyiscs180-2
1764711741288;-4.2145;0.8614;VALID;-0.073483;0.014993;0.997184;still-images-phyiscs180-2
1764711741293;-4.1941;0.8376;VALID;-0.073128;0.014580;0.997216;still-images-phyiscs180-2
1764711741298;-4.1952;0.8197;VALID;-0.073147;0.014268;0.997219;still-images-phyiscs180-2
1764711741303;-4.2131;0.8224;VALID;-0.073458;0.014314;0.997196;still-images-phyiscs180-2
1764711741308;-4.1656;0.7870;VALID;-0.072633;0.013699;0.997265;still-images-phyiscs180-2
1764711741313;-4.1858;0.8069;VALID;-0.072984;0.014044;0.997234;still-images-phyiscs180-2
1764711741318;-4.1722;0.8071;VALID;-0.072746;0.014048;0.997252;still-images-phyiscs180-2
1764711741323;-4.1664;0.8003;VALID;-0.072647;0.013930;0.997261;still-images-phyiscs180-2
1764711741328;-4.1778;0.8149;VALID;-0.072845;0.014185;0.997243;still-images-phyiscs180-2
1764711741333;-4.1571;0.8012;VALID;-0.072485;0.013946;0.997272;still-images-phyiscs180-2
1764711741338;-4.1551;0.8058;VALID;-0.072449;0.014026;0.997273;still-images-phyiscs180-2
1764711741343;-4.1661;0.7928;VALID;-0.072642;0.013800;0.997263;still-images-phyiscs180-2
1764711741348;-4.1518;0.8352;VALID;-0.072392;0.014539;0.997270;still-images-phyiscs180-2
1764711741353;-4.0910;0.8396;VALID;-0.071333;0.014616;0.997345;still-images-phyiscs180-2
1764711741358;-4.0988;0.8367;VALID;-0.071469;0.014565;0.997337;still-images-phyiscs180-2
1764711741363;-4.1173;0.7945;VALID;-0.071792;0.013830;0.997324;still-images-phyiscs180-2
1764711741368;-4.1326;0.8005;VALID;-0.072057;0.013935;0.997303;still-images-phyiscs180-2
1764711741373;-4.1061;0.7667;VALID;-0.071598;0.013347;0.997344;still-images-phyiscs180-2
1764711741378;-4.0812;0.7699;VALID;-0.071164;0.013403;0.997375;still-images-phyiscs180-2
1764711741383;-4.1599;0.7960;VALID;-0.072534;0.013857;0.997270;still-images-phyiscs180-2
1764711741388;-4.1638;0.7971;VALID;-0.072600;0.013875;0.997265;still-images-phyiscs180-2
1764711741393;-4.1265;0.8121;VALID;-0.071952;0.014136;0.997308;still-images-phyiscs180-2
1764711741398;-4.1491;0.8106;VALID;-0.072346;0.014111;0.997280;still-images-phyiscs180-2
1764711741403;-4.0863;0.8067;VALID;-0.071253;0.014044;0.997360;still-images-phyiscs180-2
1764711741408;-4.0869;0.8010;VALID;-0.071263;0.013944;0.997360;still-images-phyiscs180-2
1764711741413;-4.0951;0.8119;VALID;-0.071404;0.014134;0.997347;still-images-phyiscs180-2
1764711741418;-4.1152;0.7775;VALID;-0.071755;0.013534;0.997331;still-images-phyiscs180-2
1764711741423;-4.1299;0.7722;VALID;-0.072011;0.013442;0.997313;still-images-phyiscs180-2
1764711741428;-4.1315;0.7643;VALID;-0.072039;0.013305;0.997313;still-images-phyiscs180-2
1764711741433;-4.1433;0.7495;VALID;-0.072245;0.013046;0.997302;still-images-phyiscs180-2
1764711741438;-4.1473;0.7562;VALID;-0.072315;0.013163;0.997295;still-images-phyiscs180-2
1764711741443;-4.1503;0.7449;VALID;-0.072367;0.012967;0.997294;still-images-phyiscs180-2
1764711741448;-4.1543;0.7193;VALID;-0.072437;0.012521;0.997294;still-images-phyiscs180-2
1764711741453;-4.2034;0.7330;VALID;-0.073292;0.012758;0.997229;still-images-phyiscs180-2
1764711741458;-4.1889;0.7343;VALID;-0.073039;0.012781;0.997247;still-images-phyiscs180-2
1764711741463;-4.2163;0.7180;VALID;-0.073516;0.012498;0.997216;still-images-phyiscs180-2
1764711741468;-4.2106;0.6911;VALID;-0.073417;0.012029;0.997229;still-images-phyiscs180-2
