CaptureTimeUnixMs;CalcXEccDeg;CalcYEccDeg;Valid;GazeForwardX;GazeForwardY;GazeForwardZ;StimulusId
1764711974887;-3.4707;0.9136;VALID;-0.060530;0.015915;0.998040;still-images-phyiscs180-2
1764711974892;-3.4686;0.9585;VALID;-0.060494;0.016697;0.998029;still-images-phyiscs180-2
1764711974897;-3.4469;0.9287;VALID;-0.060116;0.016179;0.998060;still-images-phyiscs180-2
1764711974902;-3.4442;0.9421;VALID;-0.060068;0.016413;0.998059;still-images-phyiscs180-2
1764711974907;-3.4109;0.9408;VALID;-0.059489;0.016390;0.998094;still-images-phyiscs180-2
1764711974912;-3.4471;0.9202;VALID;-0.060120;0.016031;0.998062;still-images-phyiscs180-2
1764711974917;-5.1326;0.6414;VALID;-0.089456;0.011149;0.995928;still-images-phyiscs180-2
1764711974922;-6.6762;0.6389;VALID;-0.116251;0.011075;0.993158;still-images-phyiscs180-2
1764711974927;-8.0263;0.5349;VALID;-0.139622;0.009245;0.990162;still-images-phyiscs180-2
1764711974932;-9.1346;0.6656;VALID;-0.158745;0.011470;0.987253;still-images-phyiscs180-2
1764711974937;-9.9713;0.4603;VALID;-0.173149;0.007912;0.984864;still-images-phyiscs180-2
1764711974942;-9.7603;0.4327;VALID;-0.169522;0.007443;0.985498;still-images-phyiscs180-2
1764711974947;-10.1635;0.5505;VALID;-0.176450;0.009458;0.984264;still-images-phyiscs180-2
1764711974952;-10.1090;0.5540;VALID;-0.175514;0.009519;0.984431;still-images-phyiscs180-2
1764711974957;-10.1870;0.6660;VALID;-0.176850;0.011440;0.984171;still-images-phyiscs180-2
1764711974962;-10.1398;0.5331;VALID;-0.176043;0.009160;0.984340;still-images-phyiscs180-2
1764711974967;-10.2067;0.5907;VALID;-0.177191;0.010147;0.984124;still-images-phyiscs180-2
1764711974972;-10.2348;0.5565;VALID;-0.177674;0.009558;0.984043;still-images-phyiscs180-2
1764711974977;-10.2454;0.5459;VALID;-0.177857;0.009375;0.984012;still-images-phyiscs180-2
1764711974982;-10.1693;0.5494;VALID;-0.176549;0.009437;0.984247;still-images-phyiscs180-2
1764711974987;-10.2944;0.5900;VALID;-0.178697;0.010132;0.983852;still-images-phyiscs180-2
1764711974992;-10.2415;0.5839;VALID;-0.177788;0.010029;0.984018;still-images-phyiscs180-2
1764711974997;-10.2995;0.6133;VALID;-0.178783;0.010532;0.983832;still-images-phyiscs180-2
1764711975002;-10.0810;0.3809;VALID;-0.175036;0.006546;0.984540;still-images-phyiscs180-2
1764711975007;-10.2600;0.5010;VALID;-0.178108;0.008605;0.983973;still-images-phyiscs180-2
1764711975012;-10.1509;0.4250;VALID;-0.176236;0.007301;0.984321;still-images-phyiscs180-2
1764711975017;-10.2717;0.5106;VALID;-0.178309;0.008769;0.983935;still-images-phyiscs180-2
1764711975022;-10.0332;0.2534;VALID;-0.174218;0.004354;0.984698;still-images-phyiscs180-2
1764711975027;-10.0255;0.1928;VALID;-0.174085;0.003314;0.984725;still-images-phyiscs180-2
1764711975032;-10.2822;0.4849;VALID;-0.178490;0.008326;0.983907;still-images-phyiscs180-2
1764711975037;-10.3006;0.5190;VALID;-0.178805;0.008913;0.983844;still-images-phyiscs180-2
1764711975042;-10.2620;0.4887;VALID;-0.178144;0.008394;0.983969;still-images-phyiscs180-2
1764711975047;-10.3053;0.5215;VALID;-0.178886;0.008955;0.983829;still-images-phyiscs180-2
1764711975052;-10.3600;0.5259;VALID;-0.179826;0.009029;0.983657;still-images-phyiscs180-2
1764711975057;-10.1494;0.3238;VALID;-0.176214;0.005563;0.984336;still-images-phyiscs180-2
1764711975062;-10.1523;0.3302;VALID;-0.176262;0.005672;0.984327;still-images-phyiscs180-2
1764711975067;-10.1509;0.3534;VALID;-0.176237;0.006071;0.984329;still-images-phyiscs180-2
1764711975072;-10.1750;0.3791;VALID;-0.176652;0.006513;0.984252;still-images-phyiscs180-2
1764711975077;-10.1773;0.3828;VALID;-0.176690;0.006576;0.984245;still-images-phyiscs180-2
1764711975082;-10.1802;0.3929;VALID;-0.176740;0.006749;0.984235;still-images-phyiscs180-2
1764711975087;-10.1818;0.3908;VALID;-0.176768;0.006713;0.984230;still-images-phyiscs180-2
1764711975092;-10.1893;0.3926;VALID;-0.176896;0.006744;0.984206;still-images-phyiscs180-2
1764711975097;-10.1803;0.3903;VALID;-0.176742;0.006705;0.984235;still-images-phyiscs180-2
1764711975102;-10.1873;0.3904;VALID;-0.176862;0.006706;0.984213;still-images-phyiscs180-2
1764711975107;-10.3496;0.5597;VALID;-0.179646;0.009610;0.983684;still-images-phyiscs180-2
1764711975112;-10.2602;0.4152;VALID;-0.178114;0.007130;0.983984;still-images-phyiscs180-2
1764711975117;-10.1124;0.3887;VALID;-0.175576;0.006678;0.984443;still-images-phyiscs180-2
1764711975122;-10.1213;0.3990;VALID;-0.175728;0.006855;0.984415;still-images-phyiscs180-2
1764711975127;-10.1344;0.4140;VALID;-0.175953;0.007112;0.984373;still-images-phyiscs180-2
1764711975132;-10.1121;0.4113;VALID;-0.175570;0.007067;0.984442;still-images-phyiscs180-2
1764711975137;-10.0291;0.3333;VALID;-0.174146;0.005728;0.984703;still-images-phyiscs180-2
1764711975142;-10.2108;0.3917;VALID;-0.177266;0.006728;0.984140;still-images-phyiscs180-2
1764711975147;-8.3192;0.9691;VALID;-0.144667;0.016735;0.989339;still-images-phyiscs180-2
1764711975152;-6.3706;1.9021;VALID;-0.110898;0.032988;0.993284;still-images-phyiscs180-2
1764711975157;-4.9996;2.3539;VALID;-0.087077;0.040916;0.995361;still-images-phyiscs180-2
1764711975162;-4.4107;2.9470;VALID;-0.076804;0.051260;0.995728;still-images-phyiscs180-2
1764711975167;-3.6401;3.3721;VALID;-0.063379;0.058703;0.996262;still-images-phyiscs180-2
1764711975172;-2.8485;3.7760;VALID;-0.049587;0.065775;0.996602;still-images-phyiscs180-2
1764711975177;-2.9829;3.6589;VALID;-0.051932;0.063731;0.996615;still-images-phyiscs180-2
1764711975182;-2.7658;3.7310;VALID;-0.048151;0.064997;0.996723;still-images-phyiscs180-2
1764711975187;-2.6912;3.7699;VALID;-0.046852;0.065677;0.996740;still-images-phyiscs180-2
1764711975192;-2.6723;3.8007;VALID;-0.046521;0.066214;0.996720;still-images-phyiscs180-2
1764711975197;-2.6613;3.9493;VALID;-0.046322;0.068801;0.996554;still-images-phyiscs180-2
1764711975202;-2.6601;3.8886;VALID;-0.046303;0.067744;0.996628;still-images-phyiscs180-2
1764711975207;-2.6425;3.8762;VALID;-0.045999;0.067529;0.996656;still-images-phyiscs180-2
1764711975212;-2.6034;3.9296;VALID;-0.045316;0.068461;0.996624;still-images-phyiscs180-2
1764711975217;-2.6082;3.8746;VALID;-0.045403;0.067503;0.996686;still-images-phyiscs180-2
1764711975222;-2.5940;3.9103;VALID;-0.045153;0.068125;0.996655;still-images-phyiscs180-2
1764711975227;-2.5945;3.8609;VALID;-0.045164;0.067266;0.996712;still-images-phyiscs180-2
1764711975232;-2.5787;3.8562;VALID;-0.044889;0.067185;0.996730;still-images-phyiscs180-2
1764711975237;-2.5546;3.8391;VALID;-0.044471;0.066889;0.996769;still-images-phyiscs180-2
1764711975242;-2.5568;3.8239;VALID;-0.044510;0.066623;0.996785;still-images-phyiscs180-2
1764711975247;-2.5746;3.8290;VALID;-0.044821;0.066712;0.996765;still-images-phyiscs180-2
1764711975252;-2.5525;3.7795;VALID;-0.044438;0.065852;0.996839;still-images-phyiscs180-2
1764711975257;-2.5716;3.7638;VALID;-0.044772;0.065578;0.996843;still-images-phyiscs180-2
1764711975262;-2.5425;3.7555;VALID;-0.044265;0.065435;0.996875;still-images-phyiscs180-2
1764711975267;-2.5080;3.7800;VALID;-0.043663;0.065863;0.996873;still-images-phyiscs180-2
